,Titulo,Año de estreno - Año finalización,Generos
114,Jackass 4.5,2022 Video,"Documentary, Action, Comedy"
115,Magic Mike XXL,2015,"Comedy, Drama, Music"
116,Metal Lords,2022,"Comedy, Music"
117,La familia perfecta,2021,Comedy
118,Happy Gilmore,1996,"Comedy, Sport"
119,Sacrificios de familia,2003–2019,Comedy
120,On the Count of Three,2021,"Comedy, Drama"
121,Minx,2022– ,Comedy
122,Ghosts,2021– ,"Comedy, Fantasy"
123,Scrubs,2001–2010,"Comedy, Drama"
124,Thor: Ragnarok,2017,"Action, Adventure, Comedy"
125,Frasier,1993–2004,Comedy
126,Rebeldes y confundidos,1993,Comedy
127,Terror bajo la tierra,1990,"Comedy, Horror"
128,En un lugar en Canadá,I) (2014,"Comedy, Horror"
129,Ni idea,1995,"Comedy, Romance"
130,Notas perfectas,2012,"Comedy, Music, Romance"
131,Piña express,2008,"Action, Comedy, Crime"
132,Sexo/Vida,2021– ,"Comedy, Drama, Romance"
133,BoJack Horseman,2014–2020,"Animation, Comedy, Drama"
134,Amphibia,2019–2022,"Animation, Action, Adventure"
135,La Vida Sexual de las Universitarias,2021– ,Comedy
136,Loco y estúpido amor,2011,"Comedy, Drama, Romance"
137,Ms. Marvel,2022– ,"Action, Adventure, Comedy"
138,La Crónica Francesa,2021,"Comedy, Drama, Romance"
139,The O.C.,2003–2007,"Comedy, Drama, Romance"
140,The Great,2020– ,"Biography, Comedy, Drama"
141,The Righteous Gemstones,2019– ,"Comedy, Drama"
142,Jackass Por Siempre,2022,"Documentary, Action, Comedy"
143,Vaselina,1978,"Comedy, Musical, Romance"
144,Malcolm el de en medio,2000–2006,"Comedy, Family"
145,Psych,2006–2014,"Comedy, Crime, Mystery"
146,Upload,2020– ,"Comedy, Mystery, Sci-Fi"
147,La burbuja,2022,Comedy
148,El satánico Dr. Phibe,1971,"Comedy, Horror"
149,The Good Place,2016–2020,"Comedy, Drama, Fantasy"
150,Guardianes de la galaxia,2014,"Action, Adventure, Comedy"
151,The Conners,2018– ,Comedy
152,The Baby,2022,"Comedy, Horror, Mystery"
153,Tu primera vez,1999,Comedy
154,Festival de la Canción de Eurovisión: La historia de Fire Saga,2020,"Comedy, Musical"
155,Ella es así,1999,"Comedy, Romance"
156,Letterkenny,2016– ,Comedy
157,Deadpool,2016,"Action, Adventure, Comedy"
158,Saturday Night Live,1975– ,"Comedy, Music"
159,The Owl House,2020– ,"Animation, Action, Adventure"
160,¿Cómo sobrevivir a mi ex?,2008,"Comedy, Drama, Romance"
161,Los goonies,1985,"Adventure, Comedy, Family"
162,Father of the Bride,2022,"Comedy, Drama, Fantasy"
163,Inside No. 9,2014– ,"Comedy, Crime, Drama"
164,Deadpool 2,2018,"Action, Adventure, Comedy"
165,The White Lotus,2021–2022,"Comedy, Drama"
166,Bob's Burgers: La Película,2022,"Animation, Adventure, Comedy"
167,Spider-Man: Un nuevo universo,2018,"Animation, Action, Adventure"
168,That '90s Show,,"Comedy, Drama, Romance"
169,Monk,2002–2009,"Comedy, Crime, Drama"
170,Ligas mayores,1989,"Comedy, Sport"
171,El club de los cinco,1985,"Comedy, Drama"
172,Guerrero de las sombras,1992,"Comedy, Horror"
173,M.A.S.H.,1972–1983,"Comedy, Drama, War"
174,This Is Spinal Tap,1984,"Comedy, Music"
175,Un equipo muy especial,1992,"Comedy, Drama, Sport"
176,The Neighborhood,I) (2018– ,Comedy
177,Volver al futuro,1985,"Adventure, Comedy, Sci-Fi"
178,Esposas desesperadas,2004–2012,"Comedy, Drama, Mystery"
179,Cheers,1982–1993,"Comedy, Drama"
180,Resident Alien,2021– ,"Comedy, Drama, Mystery"
181,Un pequeño favor,2018,"Comedy, Crime, Mystery"
182,That '70s Show,1998–2006,"Comedy, Drama, Romance"
183,The Andy Griffith Show,1960–1968,"Comedy, Family"
184,Chip y Dale al rescate,1988–1990,"Animation, Action, Adventure"
185,Jojo Rabbit,2019,"Comedy, Drama, War"
186,Emma.,2020,"Comedy, Drama, Romance"
187,Disenchanted,2022,"Animation, Adventure, Comedy"
188,Un cadáver para sobrevivir,2016,"Comedy, Drama, Fantasy"
189,Agente Fortune: El Gran Engaño,2022,"Action, Comedy, Thriller"
190,Cha Cha Real Smooth,2022,"Comedy, Drama"
191,Red Notice,2021,"Action, Comedy, Thriller"
192,Crush,2022,"Comedy, Romance"
193,After Life: Más allá de mi mujer,2019–2022,"Comedy, Drama"
194,Chicas pesadas,2004,Comedy
195,Hocus Pocus 2,2022,"Comedy, Family, Fantasy"
196,The Golden Girls,1985–1992,"Comedy, Drama"
197,Life & Beth,2022– ,"Comedy, Drama"
198,Matrimonio con hijos,1987–1997,Comedy
199,I Love That for You,2022– ,Comedy
200,Picardías estudiantiles,1982,"Comedy, Drama"
201,Wonka,2023,"Adventure, Comedy, Family"
202,Jumanji: El siguiente nivel,2019,"Action, Adventure, Comedy"
203,El despertar del diablo 2,1987,"Comedy, Horror"
204,Mr. Mayor,2021–2022,Comedy
205,Idiocracy,2006,"Adventure, Comedy, Sci-Fi"
206,Baywatch guardianes de la bahía,2017,"Action, Comedy, Crime"
207,Sen Çal Kapimi,2020–2021,"Comedy, Romance"
208,Beast,II) (2022,"Action, Comedy, Crime"
209,"Beetlejuice, el súper fantasma",1988,"Comedy, Fantasy"
210,Chicas buenas,2018–2021,"Comedy, Crime, Drama"
211,Young Rock,2021– ,Comedy
212,Archer,2009– ,"Animation, Action, Comedy"
213,Cásate Conmigo,2022,"Comedy, Music, Romance"
214,Entourage,2004–2011,"Comedy, Drama"
215,iCarly,2021– ,"Comedy, Drama, Romance"
216,The Truman Show: Historia de una vida,1998,"Comedy, Drama"
217,No me olvides,2002,"Comedy, Romance"
218,Enredos de oficina,1999,Comedy
219,Futurama,1999–2023,"Animation, Adventure, Comedy"
220,¿Qué pasó ayer?,2009,Comedy
221,Agatha Raisin,2014– ,"Comedy, Crime, Drama"
222,Sombras tenebrosas,2012,"Comedy, Fantasy, Horror"
223,Love Life,2020– ,"Comedy, Romance"
224,Welcome to Flatch,2022– ,Comedy
225,Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
226,Pelotas en juego,2004,"Comedy, Sport"
227,La propuesta,I) (2009,"Comedy, Drama, Romance"
228,El Día Después,2022– ,"Comedy, Crime, Mystery"
229,10 cosas que odio de ti,1999,"Comedy, Drama, Romance"
230,Bob Esponja,1999– ,"Animation, Comedy, Family"
231,"Love, Victor",2020–2022,"Comedy, Drama, Romance"
232,Guardianes de la Galaxia Vol. 2,2017,"Action, Adventure, Comedy"
233,Sluha narodu,2015–2019,Comedy
234,¿Quién *&$%! son los Miller?,2013,"Comedy, Crime"
235,Naruto,2002–2007,"Animation, Action, Adventure"
236,Cars,2006,"Animation, Adventure, Comedy"
237,Tres por Tres,1987–1995,"Comedy, Drama, Family"
238,Kingsman: El servicio secreto,2014,"Action, Adventure, Comedy"
239,Mujer bonita,1990,"Comedy, Romance"
240,Naruto: Shippûden,2007–2017,"Animation, Action, Adventure"
241,Luck,I) (2022,"Animation, Adventure, Comedy"
242,Abbott Elementary,2021– ,Comedy
243,Mom,2013–2021,"Comedy, Drama, Romance"
244,Realmente amor,2003,"Comedy, Drama, Romance"
245,30 Rock,2006–2013,Comedy
246,"Up, una aventura de altura",2009,"Animation, Adventure, Comedy"
247,Locamente millonarios,2018,"Comedy, Drama, Romance"
248,Damas en Guerra,I) (2011,"Comedy, Romance"
249,Identidad peligrosa,1998,"Comedy, Crime"
250,Cruella,2021,"Adventure, Comedy, Crime"
251,My Fake Boyfriend,2022,"Comedy, Romance"
252,Girls5eva,2021– ,"Comedy, Music"
253,"Remo Williams, sin armas pero mortífero",1985,"Action, Adventure, Comedy"
254,Casi famosos,2000,"Adventure, Comedy, Drama"
255,Doom Patrol,2019– ,"Action, Adventure, Comedy"
256,Seis pies bajo tierra,2001–2005,"Comedy, Drama"
257,Ghosts,2019– ,"Comedy, Fantasy"
258,American Graffiti: locura de verano,1973,"Comedy, Drama"
259,Terror En El Estudio 666,2022,"Comedy, Horror, Music"
260,La gran apuesta,2015,"Biography, Comedy, Drama"
261,Fleabag,2016–2019,"Comedy, Drama"
262,Moana: Un mar de aventuras,I) (2016,"Animation, Adventure, Comedy"
263,Love and Monsters,I) (2020,"Action, Adventure, Comedy"
264,Everybody Loves Raymond,1996–2005,Comedy
265,American Dad!,2005– ,"Animation, Comedy"
266,Jungle Cruise,2021,"Action, Adventure, Comedy"
267,"Najmro: Kocha, kradnie, szanuje",2021,"Action, Comedy, Crime"
268,Good Omens,2019–2022,"Comedy, Fantasy"
269,The Outlaws,2021– ,"Comedy, Crime, Drama"
270,White Collar,2009–2014,"Comedy, Crime, Drama"
271,Tienes un e-mail,1998,"Comedy, Drama, Romance"
272,Jane the virgin,2014–2019,Comedy
273,¿Y dónde está el piloto?,1980,Comedy
274,Spontaneous,II) (2020,"Comedy, Drama, Horror"
275,Home Economics,2021– ,Comedy
276,Marmaduke,2022,"Animation, Adventure, Comedy"
277,Ugly Betty,2006–2010,"Comedy, Drama, Romance"
278,Hunter x Hunter,2011–2014,"Animation, Action, Adventure"
279,"¿Dónde estás, hermano?",2000,"Adventure, Comedy, Crime"
280,Cuestión de tiempo,I) (2013,"Comedy, Drama, Fantasy"
281,How We Roll,2022,Comedy
282,Better Things,2016–2022,"Comedy, Drama"
283,Silicon Valley,2014–2019,Comedy
284,Beach Blanket Bingo,1965,"Comedy, Musical, Romance"
285,Dos bribones tras la esmeralda perdida,1984,"Action, Adventure, Comedy"
286,Last Man Standing,2011–2021,Comedy
287,Cuando Harry encontró a Sally...,1989,"Comedy, Drama, Romance"
288,Entrevista con unos vampiros,2014,"Comedy, Horror"
289,Emily en París,2020– ,"Comedy, Drama, Romance"
290,Zootopía,2016,"Animation, Adventure, Comedy"
291,Aprendiendo a vivir,1993–2000,"Comedy, Drama, Family"
292,Ratatouille,2007,"Animation, Adventure, Comedy"
293,Hairspray,2007,"Comedy, Drama, Musical"
294,El gran hotel Budapest,2014,"Adventure, Comedy, Crime"
295,El graduado,1967,"Comedy, Drama, Romance"
296,La niñera,1993–1999,"Comedy, Family, Romance"
297,Minions: Nace un villano,2022,"Animation, Adventure, Comedy"
298,Girls,2012–2017,"Comedy, Drama"
299,Physical,2021– ,"Comedy, Drama"
300,El crucero del amor,1977–1987,"Comedy, Drama, Romance"
301,Chuck,2007–2012,"Action, Comedy, Drama"
302,Llora nena,1990,"Comedy, Musical"
303,Roar,2022– ,"Comedy, Drama"
304,Nuestra pandilla,1993,"Comedy, Drama, Family"
305,Mamma mia!,2008,"Comedy, Musical, Romance"
306,Ángeles de Charlie,2019,"Action, Adventure, Comedy"
307,Los reyes de la colina,1997–2010,"Animation, Comedy, Drama"
308,Hora de Aventura,2010–2018,"Animation, Action, Adventure"
309,Scooby-Doo,2002,"Adventure, Comedy, Family"
310,Veep,2012–2019,Comedy
311,La chica de al lado,2004,"Comedy, Drama, Romance"
312,DC Liga De Súpermascotas,2022,"Animation, Action, Adventure"
313,Dos tipos peligrosos,2016,"Action, Comedy, Crime"
314,Big Mouth,2017– ,"Animation, Comedy, Romance"
315,The IT Crowd,2006–2013,Comedy
316,Yo nunca,2020–2023,"Comedy, Drama"
317,Competencia Oficial,2021,"Comedy, Drama"
318,Emergency!,1972–1979,"Action, Adventure, Comedy"
319,La sociedad de los poetas muertos,1989,"Comedy, Drama"
320,Legalmente rubia,2001,"Comedy, Romance"
321,Snatch: Cerdos y diamantes,2000,"Comedy, Crime"
322,Shrek,2001,"Animation, Adventure, Comedy"
323,The Legend of Vox Machina,2022– ,"Animation, Action, Adventure"
324,Muertos para mi,2019–2022,"Comedy, Crime, Drama"
325,The Hating Game,2021,"Comedy, Romance"
326,Road Trip Romance,2022,"Comedy, Drama, Family"
327,Son como niños,I) (2010,Comedy
328,Jumanji: En la selva,2017,"Action, Adventure, Comedy"
329,Un experto en diversiones,1986,Comedy
330,Locura en el oeste,1974,"Comedy, Western"
331,Night Court,1984–1992,Comedy
332,Mythic Quest: Raven's Banquet,2020– ,Comedy
333,Billy Madison,1995,Comedy
334,JoJo's Bizarre Adventure,2012– ,"Animation, Action, Adventure"
335,Hot Fuzz: Super policías,2007,"Action, Comedy, Mystery"
336,La mujer de la casa de enfrente de la chica en la ventana,2022,"Comedy, Crime, Drama"
337,2 Broke Girls,2011–2017,Comedy
338,Bienvenido a los 40,2012,"Comedy, Drama, Romance"
339,Súper cool,2007,Comedy
340,La La Land: una historia de amor,2016,"Comedy, Drama, Music"
341,Boda sangrienta,I) (2019,"Action, Comedy, Horror"
342,The King of Staten Island,2020,"Comedy, Drama"
343,Emergency,2022,"Comedy, Drama, Thriller"
344,8 Simple Rules... for Dating My Teenage Daughter,2002–2005,"Comedy, Drama"
345,Destinos Opuestos,1991,"Comedy, Romance"
346,Scott Pilgrim vs. los ex de la chica de sus sueños,2010,"Action, Comedy, Fantasy"
347,Una película de miedo,2000,Comedy
348,Walk Hard: The Dewey Cox Story,2007,"Comedy, Music"
349,Sex Appeal,2022,"Comedy, Drama, Romance"
350,Coupez !,2022,"Comedy, Horror"
351,The King of Queens,1998–2007,Comedy
352,Frozen: Una aventura congelada,I) (2013,"Animation, Adventure, Comedy"
353,Gravity Falls: Un verano de misterios,2012–2016,"Animation, Action, Adventure"
354,Pequeña Miss Sunshine,2006,"Comedy, Drama"
355,Red Rocket,2021,"Comedy, Drama"
356,United States of Al,2021–2022,Comedy
357,Green Book: Una amistad sin fronteras,2018,"Biography, Comedy, Drama"
358,Heartbeat,1992–2010,"Drama, Comedy, Crime"
359,Fullmetal Alchemist: Brotherhood,2009–2012,"Animation, Action, Adventure"
360,Californication,2007–2014,"Comedy, Drama"
361,Doc Martin,2004–2022,"Comedy, Drama, Romance"
362,Una guerra de película,2008,"Action, Comedy, War"
363,Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
364,Los muchachos perdidos,1987,"Comedy, Horror"
365,Matilda,1996,"Comedy, Family, Fantasy"
366,Don,2022,"Action, Comedy, Romance"
