,Titulo,Año de estreno - Año finalización,Generos
1982,Votos de amor,2012,"Drama, Romance"
1983,Yoga Hosers,2016,"Action, Comedy, Horror"
1984,Siempre el mismo día,2011,"Drama, Romance"
1985,Una Eva y dos Adanes,1959,"Comedy, Music, Romance"
1986,La otra reina,2008,"Biography, Drama, History"
1987,Eiffel,2021,"Biography, Drama, History"
1988,Ally McBeal,1997–2002,"Comedy, Drama, Fantasy"
1989,Qué Esperar Cuando Se Está Esperando,2012,"Comedy, Drama, Romance"
1990,Una novia sin igual,1993,"Comedy, Romance"
1991,Noches de encanto,I) (2010,"Drama, Music, Musical"
1992,Mothering Sunday,I) (2021,"Drama, Romance"
1993,Click: Perdiendo el control,2006,"Comedy, Drama, Fantasy"
1994,Hechizo de luna,1987,"Comedy, Drama, Romance"
1995,Un atrevido don Juan,2013,"Comedy, Drama, Romance"
1996,El secreto de sus ojos,2009,"Drama, Mystery, Romance"
1997,Wicked - Part One,2024,"Action, Adventure, Family"
1998,Sólo los amantes sobreviven,2013,"Comedy, Drama, Fantasy"
1999,Brooklyn: un nuevo hogar,2015,"Drama, Romance"
2000,Doctor Strange en el multiverso de la locura,2022,"Action, Adventure, Fantasy"
2001,El Hombre Del Norte,2022,"Action, Adventure, Drama"
2002,Everything Everywhere All at Once,2022,"Action, Adventure, Comedy"
2003,Top Gun: Maverick,2022,"Action, Drama"
2004,She-Hulk: Attorney at Law,2022– ,"Action, Adventure, Comedy"
2005,Halo,2022– ,"Action, Adventure, Sci-Fi"
2006,La Ciudad Perdida,2022,"Action, Adventure, Comedy"
2007,Morbius,2022,"Action, Adventure, Horror"
2008,Prey,I) (2022,"Action, Drama, Horror"
2009,Top Gun: Pasión y gloria,1986,"Action, Drama"
2010,"Love, Death & Robots",2019– ,"Animation, Short, Action"
2011,Batman,2022,"Action, Crime, Drama"
2012,Avatar: The Way of Water,2022,"Action, Adventure, Sci-Fi"
2013,Moon Knight,2022,"Action, Adventure, Fantasy"
2014,Star Trek: Strange New Worlds,2022– ,"Action, Adventure, Sci-Fi"
2015,The Boys,2019– ,"Action, Crime, Drama"
2016,Game of Thrones,2011–2019,"Action, Adventure, Drama"
2017,Uncharted: Fuera del Mapa,2022,"Action, Adventure"
2018,Barry,2018– ,"Action, Comedy, Crime"
2019,Obi-Wan Kenobi,2022,"Action, Adventure, Sci-Fi"
2020,Animales Fantásticos: Los Secretos de Dumbledore,2022,"Action, Adventure, Fantasy"
2021,Asesino sin memoria,2022,"Action, Thriller"
2022,Doctor Strange: hechicero supremo,2016,"Action, Adventure, Fantasy"
2023,Spider-Man: sin camino a casa,2021,"Action, Adventure, Fantasy"
2024,Thor: amor y trueno,2022,"Action, Adventure, Fantasy"
2025,Aquaman,2018,"Action, Adventure, Fantasy"
2026,The Last Kingdom,2015–2022,"Action, Drama, History"
2027,NCIS: Criminología Naval,2003– ,"Action, Crime, Drama"
2028,Sonic 2: La Película,2022,"Action, Adventure, Comedy"
2029,House of the Dragon,2022– ,"Action, Adventure, Drama"
2030,Bienvenidos a Edén,2022– ,"Action, Drama, Sci-Fi"
2031,The Umbrella Academy,2019– ,"Action, Adventure, Comedy"
2032,Clark,2022,"Action, Comedy, Crime"
2033,Jurassic World Dominio,2022,"Action, Adventure, Sci-Fi"
2034,El Peso Del Talento,2022,"Action, Comedy, Crime"
2035,Avatar,2009,"Action, Adventure, Fantasy"
2036,Duna,2021,"Action, Adventure, Drama"
2037,Star Trek: Picard,2020– ,"Action, Adventure, Drama"
2038,Vikingos,2013–2020,"Action, Adventure, Drama"
2039,The Terminal List,2022– ,"Action, Drama, Thriller"
2040,9-1-1,2018– ,"Action, Drama, Thriller"
2041,Ambulancia,2022,"Action, Crime, Drama"
2042,Chicago Fire,2012– ,"Action, Drama"
2043,Matrix resurrecciones,2021,"Action, Sci-Fi"
2044,Flash,2014– ,"Action, Adventure, Drama"
2045,One Piece: Wan pîsu,1999– ,"Animation, Action, Adventure"
2046,RRR (Rise Roar Revolt),2022,"Action, Drama"
2047,Piratas del Caribe - La maldición del Perla Negra,2003,"Action, Adventure, Fantasy"
2048,Attack on Titan,2013–2023,"Animation, Action, Adventure"
2049,WandaVision,2021,"Action, Comedy, Drama"
2050,Nuestra Bandera de Muerte,2022– ,"Action, Adventure, Biography"
2051,The Mandalorian,2019– ,"Action, Adventure, Fantasy"
2052,Spiderhead,2022,"Action, Crime, Drama"
2053,Llamas de venganza,1984,"Action, Horror, Sci-Fi"
2054,K.G.F: Chapter 2,2022,"Action, Crime, Drama"
2055,Star Trek: Discovery,2017– ,"Action, Adventure, Drama"
2056,Moonfall,2022,"Action, Adventure, Sci-Fi"
2057,Tehran,2020– ,"Action, Crime, Drama"
2058,Los Caballeros,2019,"Action, Comedy, Crime"
2059,Reacher,2022– ,"Action, Crime, Drama"
2060,9-1-1: Lone Star,2020– ,"Action, Drama, Thriller"
2061,Eternos,2021,"Action, Adventure, Fantasy"
2062,Chicago P.D.,2014– ,"Action, Crime, Drama"
2063,S.W.A.T.,2017– ,"Action, Adventure, Crime"
2064,Sin Tiempo Para Morir,2021,"Action, Adventure, Thriller"
2065,F.B.I.,2018– ,"Action, Crime, Drama"
2066,Avengers: Endgame,2019,"Action, Adventure, Drama"
2067,El proyecto Adam,2022,"Action, Adventure, Comedy"
2068,The Equalizer,2021– ,"Action, Crime, Drama"
2069,King's Man: El origen,2021,"Action, Adventure, Thriller"
2070,The Witcher,2019– ,"Action, Adventure, Drama"
2071,Piratas del caribe: La venganza de Salazar,2017,"Action, Adventure, Fantasy"
2072,Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy"
2073,Daredevil,2015–2018,"Action, Crime, Drama"
2074,Spy x Family,2022– ,"Animation, Action, Comedy"
2075,NCIS: Los Angeles,2009– ,"Action, Crime, Drama"
2076,Loki,2021– ,"Action, Adventure, Fantasy"
2077,Batman: El Caballero de la Noche,2008,"Action, Crime, Drama"
2078,What If...?,2021– ,"Animation, Action, Adventure"
2079,El libro de Boba Fett,2021– ,"Action, Adventure, Sci-Fi"
2080,Vendetta,I) (2022,"Action, Thriller"
2081,El Escuadrón Suicida,2021,"Action, Adventure, Comedy"
2082,Viaje a las estrellas: La nueva generación,1987–1994,"Action, Adventure, Sci-Fi"
2083,Killing Eve,2018–2022,"Action, Adventure, Drama"
2084,La cacería,II) (2020,"Action, Horror, Thriller"
2085,Free Guy: Tomando El Control,2021,"Action, Adventure, Comedy"
2086,Sonic. la película,2020,"Action, Adventure, Comedy"
2087,Station 19,2018– ,"Action, Drama, Romance"
2088,Arcane,2021– ,"Animation, Action, Adventure"
2089,Superman and Lois,2021– ,"Action, Adventure, Drama"
2090,The Contractor,2022,"Action, Thriller"
2091,The Gray Man,2022,"Action, Thriller"
2092,Parque jurásico,1993,"Action, Adventure, Sci-Fi"
2093,Star Wars: La guerra de los clones,2008–2020,"Animation, Action, Adventure"
2094,Lightyear,2022,"Animation, Action, Adventure"
2095,El señor de los anillos,2022– ,"Action, Adventure, Drama"
2096,Peacemaker,2022– ,"Action, Adventure, Comedy"
2097,Shang-Chi Y La Leyenda De Los Diez Anillos,2021,"Action, Adventure, Fantasy"
2098,Incompatibles 2,2022,"Action, Comedy, Crime"
2099,Justicia Implacable,2021,"Action, Crime, Thriller"
2100,Magnum P.I.,2018–2022,"Action, Adventure, Crime"
2101,Vikingos: Valhalla,2022– ,"Action, Adventure, Drama"
2102,Jack Ryan,2018– ,"Action, Drama, Thriller"
2103,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi"
2104,Demon Slayer: Kimetsu no Yaiba,2019– ,"Animation, Action, Adventure"
2105,Inhumanos,2017,"Action, Adventure, Sci-Fi"
2106,"Buffy, la cazavampiros",1997–2003,"Action, Drama, Fantasy"
2107,El quinto elemento,1997,"Action, Adventure, Sci-Fi"
2108,La Casa de Papel,2017–2021,"Action, Crime, Drama"
2109,Cobra Kai,2018– ,"Action, Comedy, Drama"
2110,Blade Runner 2049,2017,"Action, Drama, Mystery"
2111,Tren Bala,2022,"Action, Thriller"
2112,NCIS: Hawai'i,2021– ,"Action, Crime, Mystery"
2113,Viaje a las estrellas,1966–1969,"Action, Adventure, Sci-Fi"
2114,Hawkeye,2021,"Action, Adventure, Crime"
2115,La Liga de la Justicia de Zack Snyder,2021,"Action, Adventure, Fantasy"
2116,Venom: Carnage Liberado,2021,"Action, Adventure, Sci-Fi"
2117,La guerra de las galaxias,1977,"Action, Adventure, Fantasy"
2118,Los cazafantasmas,1984,"Action, Comedy, Fantasy"
2119,Nadie,I) (2021,"Action, Crime, Drama"
2120,Agents of S.H.I.E.L.D,2013–2020,"Action, Adventure, Drama"
2121,Black Adam,2022,"Action, Fantasy, Sci-Fi"
2122,Ash contra el mal,2015–2018,"Action, Comedy, Fantasy"
2123,El origen,2010,"Action, Adventure, Sci-Fi"
2124,Mission: Impossible - Dead Reckoning - Part One,2023,"Action, Adventure, Thriller"
2125,Tierra de zombies,2009,"Action, Comedy, Horror"
2126,Piratas del Caribe - El cofre de la muerte,2006,"Action, Adventure, Fantasy"
2127,Jackass 4.5,2022 Video,"Documentary, Action, Comedy"
2128,SEAL Team,2017– ,"Action, Drama, War"
2129,FBI: Most Wanted,2020– ,"Action, Crime, Drama"
2130,Viajeros en el tiempo,1989–1993,"Action, Adventure, Drama"
2131,Thor: Ragnarok,2017,"Action, Adventure, Comedy"
2132,Mad Max: Furia en el camino,2015,"Action, Adventure, Sci-Fi"
2133,La rueda del tiempo,2021– ,"Action, Adventure, Drama"
2134,Hawaii 5.0,2010–2020,"Action, Crime, Drama"
2135,Contra lo imposible,2019,"Action, Biography, Drama"
2136,Star Trek: Deep Space Nine,1993–1999,"Action, Adventure, Drama"
2137,Blade Runner,1982,"Action, Drama, Sci-Fi"
2138,Gotham,2014–2019,"Action, Crime, Drama"
2139,Spider-Man: de regreso a casa,2017,"Action, Adventure, Sci-Fi"
2140,Thor,2011,"Action, Adventure, Fantasy"
2141,Piratas del Caribe: Navegando aguas misteriosas,2011,"Action, Adventure, Fantasy"
2142,Smallville,2001–2017,"Action, Adventure, Drama"
2143,Piña express,2008,"Action, Comedy, Crime"
2144,El robo perfecto,2018,"Action, Crime, Drama"
2145,Amphibia,2019–2022,"Animation, Action, Adventure"
2146,Rápidos Y Furiosos 9,2021,"Action, Crime, Thriller"
2147,Ms. Marvel,2022– ,"Action, Adventure, Comedy"
2148,La reina del sur,2016–2021,"Action, Crime, Drama"
2149,Stargate SG-1,1997–2007,"Action, Adventure, Drama"
2150,El Último Duelo,2021,"Action, Drama, History"
2151,Titanes,I) (2018– ,"Action, Adventure, Crime"
2152,Star wars: Episodio I - La amenaza fantasma,1999,"Action, Adventure, Fantasy"
2153,Día de la independencia,1996,"Action, Adventure, Sci-Fi"
2154,El hombre araña,2002,"Action, Adventure, Sci-Fi"
2155,Jackass Por Siempre,2022,"Documentary, Action, Comedy"
2156,Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama"
2157,Invincible,2021– ,"Animation, Action, Adventure"
2158,Prison Break,2005–2017,"Action, Crime, Drama"
2159,Vampire in the Garden,2022– ,"Animation, Action, Adventure"
2160,Justified: La ley de Raylan,2010–2015,"Action, Crime, Drama"
2161,El señor de los anillos: La comunidad del anillo,2001,"Action, Adventure, Drama"
2162,Tenet,2020,"Action, Adventure, Sci-Fi"
2163,Liga de la Justicia,2017,"Action, Adventure, Fantasy"
2164,Piratas del Caribe - En el fin del mundo,2007,"Action, Adventure, Fantasy"
2165,Arrow,2012–2020,"Action, Adventure, Crime"
2166,Los juegos del hambre,2012,"Action, Adventure, Sci-Fi"
2167,Snowpiercer,2020– ,"Action, Drama, Sci-Fi"
2168,Resident Evil: Bienvenidos a Raccoon City,2021,"Action, Horror, Sci-Fi"
2169,Caos: El Inicio,2021,"Action, Adventure, Fantasy"
2170,Guardianes de la galaxia,2014,"Action, Adventure, Comedy"
2171,Lobo Adolescente,2011–2017,"Action, Drama, Fantasy"
2172,Fantastic Four,,"Action, Adventure, Sci-Fi"
2173,Thar,2022,"Action, Crime, Drama"
2174,Untitled Indiana Jones Project,2023,"Action, Adventure"
2175,Resident Evil,2022– ,"Action, Horror, Sci-Fi"
2176,Black Widow,2021,"Action, Adventure, Sci-Fi"
2177,Fuego contra fuego,1995,"Action, Crime, Drama"
2178,Deadpool,2016,"Action, Adventure, Comedy"
2179,El juego del calamar,2021– ,"Action, Drama, Mystery"
2180,Gladiador,2000,"Action, Adventure, Drama"
2181,The Owl House,2020– ,"Animation, Action, Adventure"
2182,Viaje a las estrellas: Voyager,1995–2001,"Action, Adventure, Sci-Fi"
2183,Matrix,1999,"Action, Sci-Fi"
2184,Deadpool 2,2018,"Action, Adventure, Comedy"
2185,Black Sails,2014–2017,"Action, Adventure, Drama"
2186,Capitana Marvel,2019,"Action, Adventure, Sci-Fi"
2187,Avatar: la leyenda de Aang,2005–2008,"Animation, Action, Adventure"
2188,Los 4 fantásticos,2015,"Action, Adventure, Sci-Fi"
2189,La momia,1999,"Action, Adventure, Fantasy"
2190,"Hulk, el hombre increible",2008,"Action, Adventure, Sci-Fi"
2191,The Punisher,2017–2019,"Action, Crime, Drama"
2192,24,2001–2010,"Action, Crime, Drama"
2193,Spider-Man: Un nuevo universo,2018,"Animation, Action, Adventure"
2194,Sombra y hueso,2021– ,"Action, Adventure, Drama"
2195,Star Wars: El ascenso de Skywalker,2019,"Action, Adventure, Fantasy"
2196,Jurassic World: Mundo Jurásico,2015,"Action, Adventure, Sci-Fi"
2197,Star Wars: Episodio II - El ataque de los clones,2002,"Action, Adventure, Fantasy"
2198,Luz Negra,2022,"Action, Thriller"
2199,Fast X,2023,"Action, Crime, Mystery"
2200,G.I. Joe: Snake Eyes,2021,"Action, Adventure, Crime"
2201,Dune: Part Two,2023,"Action, Adventure, Drama"
2202,1917,2019,"Action, Drama, War"
2203,Los federales,1998,"Action, Crime, Thriller"
2204,DC's Legends of Tomorrow,2016–2022,"Action, Adventure, Drama"
2205,Los cazadores del arca perdida,1981,"Action, Adventure"
2206,Spartacus,2010–2013,"Action, Adventure, Biography"
2207,Outer Banks,2020– ,"Action, Crime, Drama"
2208,El perfecto asesino,1994,"Action, Crime, Drama"
2209,FBI: International,2021– ,"Action, Adventure, Crime"
2210,Guerra de los mundos,2005,"Action, Adventure, Sci-Fi"
2211,Escuadrón Suicida,2016,"Action, Adventure, Fantasy"
2212,Dhaakad,2022,"Action, Thriller"
2213,Young Justice,2010– ,"Animation, Action, Adventure"
2214,Iron Man: el hombre de hierro,2008,"Action, Adventure, Sci-Fi"
2215,Chip y Dale al rescate,1988–1990,"Animation, Action, Adventure"
2216,Rendirse jamás,2008,"Action, Drama, Sport"
2217,Banshee,2013–2016,"Action, Crime, Drama"
2218,Agente Fortune: El Gran Engaño,2022,"Action, Comedy, Thriller"
2219,Expend4bles,,"Action, Adventure, Thriller"
2220,Vigilados,2011–2016,"Action, Crime, Drama"
2221,Red Notice,2021,"Action, Comedy, Thriller"
2222,Batman: El caballero de la noche asciende,2012,"Action, Crime, Drama"
2223,John Wick: Chapter 4,2023,"Action, Crime, Thriller"
2224,Walker,2021– ,"Action, Crime, Drama"
2225,Han Solo: una historia de Star Wars,2018,"Action, Adventure, Sci-Fi"
2226,Pantera Negra,2018,"Action, Adventure, Sci-Fi"
2227,Infinite,2021,"Action, Sci-Fi, Thriller"
2228,See,2019– ,"Action, Drama, Sci-Fi"
2229,The Avengers: Los Vengadores,2012,"Action, Adventure, Sci-Fi"
2230,Eraser: Reborn,2022,Action
2231,Rápida y mortal,1995,"Action, Romance, Thriller"
2232,Dunas,1984,"Action, Adventure, Sci-Fi"
2233,007: Casino Royale,2006,"Action, Adventure, Thriller"
2234,Dunkerque,2017,"Action, Drama, History"
2235,Star Wars: El despertar de la fuerza,2015,"Action, Adventure, Sci-Fi"
2236,The Old Man,2022– ,"Action, Drama, Thriller"
2237,Jumanji: El siguiente nivel,2019,"Action, Adventure, Comedy"
2238,Star Trek,2009,"Action, Adventure, Sci-Fi"
2239,Terminator 2: juicio final,1991,"Action, Sci-Fi"
2240,Avenida Cloverfield 10,2016,"Action, Drama, Horror"
2241,Rogue One: Una historia de Star Wars,2016,"Action, Adventure, Sci-Fi"
2242,Baywatch guardianes de la bahía,2017,"Action, Comedy, Crime"
2243,El precio del mañana,2011,"Action, Sci-Fi, Thriller"
2244,Otro día para matar,2014,"Action, Crime, Thriller"
2245,Beast,II) (2022,"Action, Comedy, Crime"
2246,La guerra de las galaxias: Episodio III - La venganza de los Sith,2005,"Action, Adventure, Fantasy"
2247,Jujutsu Kaisen,2020– ,"Animation, Action, Adventure"
2248,Batman inicia,2005,"Action, Crime, Drama"
2249,Archer,2009– ,"Animation, Action, Comedy"
2250,El depredador,2018,"Action, Adventure, Sci-Fi"
2251,Star Wars Rebels,2014–2018,"Animation, Action, Adventure"
2252,Godzilla vs. Kong,2021,"Action, Sci-Fi, Thriller"
2253,Avengers: Era de Ultrón,2015,"Action, Adventure, Sci-Fi"
2254,El primer vengador,2011,"Action, Adventure, Sci-Fi"
2255,Los 4 Fantásticos,I) (2005,"Action, Adventure, Fantasy"
2256,El primer vengador: la guerra de los héroes,2016,"Action, Adventure, Sci-Fi"
2257,Spider-Man: Lejos de casa,2019,"Action, Adventure, Sci-Fi"
2258,MacGyver,2016–2021,"Action, Adventure, Drama"
2259,Jurassic World: El reino caído,2018,"Action, Adventure, Sci-Fi"
2260,Logan: Wolverine,2017,"Action, Drama, Sci-Fi"
2261,Most Dangerous Game,2020– ,"Short, Action, Thriller"
2262,6 Underground,2019,"Action, Thriller"
2263,Roma,2005–2007,"Action, Drama, History"
2264,"Alien 2, el regreso",1986,"Action, Adventure, Sci-Fi"
2265,Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
2266,El señor de los anillos: El retorno del rey,2003,"Action, Adventure, Drama"
2267,Battle Angel: la última guerrera,2019,"Action, Adventure, Sci-Fi"
2268,Falcon y el soldado del invierno,2021,"Action, Adventure, Drama"
2269,Agentes 355,2022,"Action, Thriller"
2270,Oldboy: Días de venganza,2013,"Action, Drama, Mystery"
2271,Infierno al volante,2011,"Action, Fantasy, Thriller"
2272,Guardianes de la Galaxia Vol. 2,2017,"Action, Adventure, Comedy"
2273,Tierra de nadie: Sicario,2015,"Action, Crime, Drama"
2274,Baby: el aprendiz del crimen,2017,"Action, Crime, Drama"
2275,Naruto,2002–2007,"Animation, Action, Adventure"
2276,Legion,2017–2019,"Action, Drama, Sci-Fi"
2277,Kingsman: El servicio secreto,2014,"Action, Adventure, Comedy"
2278,Ready Player One: comienza el juego,2018,"Action, Adventure, Sci-Fi"
2279,Naruto: Shippûden,2007–2017,"Animation, Action, Adventure"
2280,Los guardianes de la bahía,1989–2001,"Action, Adventure, Crime"
2281,"Drive, el escape",I) (2011,"Action, Drama"
2282,Megalodón,2018,"Action, Horror, Sci-Fi"
2283,Supergirl,2015–2021,"Action, Adventure, Drama"
2284,Transformers,2007,"Action, Adventure, Sci-Fi"
2285,X-Men,2000,"Action, Adventure, Sci-Fi"
2286,El Sorprendente Hombre-Araña,2012,"Action, Adventure, Sci-Fi"
2287,Dioses de Egipto,2016,"Action, Adventure, Fantasy"
2288,"Remo Williams, sin armas pero mortífero",1985,"Action, Adventure, Comedy"
2289,Doom Patrol,2019– ,"Action, Adventure, Comedy"
2290,Star Wars: Episodio VIII: Los Últimos Jedi,2017,"Action, Adventure, Fantasy"
2291,Jujutsu Kaisen 0,2021,"Animation, Action, Fantasy"
2292,My Hero Academia,2016– ,"Animation, Action, Adventure"
2293,Burn Notice,2007–2013,"Action, Crime, Drama"
2294,Los guerreros,1979,"Action, Crime, Thriller"
2295,El imperio contraataca,1980,"Action, Adventure, Fantasy"
2296,Oldboy: Cinco días para vengarse,2003,"Action, Drama, Mystery"
2297,El Camino: Una película de Breaking Bad,2019,"Action, Crime, Drama"
2298,X-Men: Apocalipsis,2016,"Action, Adventure, Sci-Fi"
2299,Venom,2018,"Action, Adventure, Sci-Fi"
2300,Pearl Harbor,2001,"Action, Drama, History"
2301,"Conan, el bárbaro",1982,"Action, Adventure, Fantasy"
2302,The Flash,2023,"Action, Adventure, Fantasy"
2303,Covert Affairs,2010–2014,"Action, Crime, Drama"
2304,Longmire,2012–2017,"Action, Crime, Drama"
2305,Altered Carbon,2018–2020,"Action, Drama, Sci-Fi"
2306,Estamos muertos,2022– ,"Action, Drama, Fantasy"
2307,"Watchmen, los vigilantes",2009,"Action, Drama, Mystery"
2308,Love and Monsters,I) (2020,"Action, Adventure, Comedy"
2309,Constantine,2005,"Action, Fantasy, Horror"
2310,Jungle Cruise,2021,"Action, Adventure, Comedy"
2311,"Najmro: Kocha, kradnie, szanuje",2021,"Action, Comedy, Crime"
2312,El regreso del Jedi,1983,"Action, Adventure, Fantasy"
2313,El mundo perdido: Jurassic Park,1997,"Action, Adventure, Sci-Fi"
2314,The Tomorrow War,2021,"Action, Adventure, Drama"
2315,Indiana Jones y la última cruzada,1989,"Action, Adventure"
2316,Misión: Imposible - Repercusión,2018,"Action, Adventure, Thriller"
2317,The Last of Us,2023– ,"Action, Adventure, Drama"
2318,Star Trek sin límites,2016,"Action, Adventure, Sci-Fi"
2319,Last Seen Alive,2022,"Action, Mystery, Thriller"
2320,Depredador,1987,"Action, Adventure, Horror"
2321,Terminator,1984,"Action, Sci-Fi"
2322,Invasión,1997,"Action, Adventure, Sci-Fi"
2323,Enemigos públicos,2009,"Action, Biography, Crime"
2324,Hunter x Hunter,2011–2014,"Animation, Action, Adventure"
2325,Enterprise,2001–2005,"Action, Adventure, Drama"
2326,Corazones de hierro,2014,"Action, Drama, War"
2327,Midway: batalla en el Pacífico,2019,"Action, Drama, History"
2328,Godless,2017,"Action, Drama, Western"
2329,Linterna Verde,2011,"Action, Adventure, Sci-Fi"
2330,Secret Invasion,2022– ,"Action, Adventure, Drama"
2331,Jack Reacher: Bajo la mira,2012,"Action, Mystery, Thriller"
2332,Gangs of London,2020– ,"Action, Crime, Drama"
2333,300,2006,"Action, Drama"
2334,Mortal Kombat,2021,"Action, Adventure, Fantasy"
2335,Mandy,I) (2018,"Action, Fantasy, Horror"
2336,La aventura del Poseidón,1972,"Action, Adventure, Drama"
2337,Blindspot,2015–2020,"Action, Crime, Drama"
2338,Dos bribones tras la esmeralda perdida,1984,"Action, Adventure, Comedy"
2339,"Galáctica, estrella de combate",2004–2009,"Action, Adventure, Drama"
2340,Jessica Jones,2015–2019,"Action, Crime, Drama"
2341,La Purga Por Siempre,2021,"Action, Horror, Thriller"
2342,Batman v Superman: El origen de la justicia,2016,"Action, Adventure, Sci-Fi"
2343,La Roca,1996,"Action, Adventure, Thriller"
2344,Chuck,2007–2012,"Action, Comedy, Drama"
2345,El hombre araña 3,2007,"Action, Adventure, Sci-Fi"
2346,Divergente,2014,"Action, Adventure, Mystery"
2347,Batman,1989,"Action, Adventure"
2348,Mujer Maravilla,2017,"Action, Adventure, Fantasy"
2349,Van Helsing,2016–2021,"Action, Drama, Fantasy"
2350,Magnum,1980–1988,"Action, Adventure, Crime"
2351,Ángeles de Charlie,2019,"Action, Adventure, Comedy"
2352,"Robocop, el defensor del futuro",1987,"Action, Crime, Sci-Fi"
2353,Los siete magníficos,2016,"Action, Adventure, Western"
2354,Hora de Aventura,2010–2018,"Animation, Action, Adventure"
2355,DC Liga De Súpermascotas,2022,"Animation, Action, Adventure"
2356,Oblivion: El tiempo del olvido,I) (2013,"Action, Adventure, Sci-Fi"
2357,Dos tipos peligrosos,2016,"Action, Comedy, Crime"
2358,Old Henry,2021,"Action, Drama, Western"
2359,Kill Bill Vol. 1,2003,"Action, Crime, Drama"
2360,Emergency!,1972–1979,"Action, Adventure, Comedy"
2361,No Respires 2,2021,"Action, Crime, Thriller"
2362,Indiana Jones y el templo de la perdición,1984,"Action, Adventure"
2363,Batgirl,2022,"Action, Adventure, Crime"
2364,The Legend of Vox Machina,2022– ,"Animation, Action, Adventure"
2365,007: Operación Skyfall,2012,"Action, Adventure, Thriller"
2366,Inquebrantable,I) (2014,"Action, Biography, Drama"
2367,Thor: Un mundo oscuro,2013,"Action, Adventure, Fantasy"
2368,Del crepúsculo al amanecer,1996,"Action, Crime, Horror"
2369,Angel,1999–2004,"Action, Drama, Fantasy"
2370,Jumanji: En la selva,2017,"Action, Adventure, Comedy"
2371,Revenant: El Renacido,2015,"Action, Adventure, Drama"
2372,Miraculous: Las Aventuras de Ladybug,2015– ,"Animation, Action, Adventure"
2373,Guerra mundial Z,2013,"Action, Adventure, Horror"
2374,JoJo's Bizarre Adventure,2012– ,"Animation, Action, Adventure"
2375,NCIS: New Orleans,2014–2021,"Action, Crime, Drama"
2376,Hot Fuzz: Super policías,2007,"Action, Comedy, Mystery"
2377,El hombre de acero,2013,"Action, Adventure, Sci-Fi"
2378,Black Site,I) (2022,"Action, Thriller"
2379,Boda sangrienta,I) (2019,"Action, Comedy, Horror"
2380,Shin Ultraman,2022,"Action, Adventure, Drama"
2381,Búsqueda implacable,I) (2008,"Action, Crime, Thriller"
2382,Scott Pilgrim vs. los ex de la chica de sus sueños,2010,"Action, Comedy, Fantasy"
2383,Iron Man 3,2013,"Action, Adventure, Sci-Fi"
2384,Kung Fu,2021– ,"Action, Adventure, Drama"
2385,Resident Evil: El huésped maldito,2002,"Action, Horror, Sci-Fi"
2386,Apocalypto,2006,"Action, Adventure, Drama"
2387,El fugitivo,1993,"Action, Crime, Drama"
2388,Burbujas,2022,"Animation, Action, Adventure"
2389,La liga extraordinaria,2003,"Action, Adventure, Fantasy"
2390,Al filo del mañana,2014,"Action, Adventure, Sci-Fi"
2391,Rápido y furioso,2001,"Action, Crime, Thriller"
2392,Gravity Falls: Un verano de misterios,2012–2016,"Animation, Action, Adventure"
2393,Hulk,2003,"Action, Sci-Fi"
2394,El justiciero,2014,"Action, Crime, Thriller"
2395,Fullmetal Alchemist: Brotherhood,2009–2012,"Animation, Action, Adventure"
2396,X-Men: Días del futuro pasado,2014,"Action, Adventure, Sci-Fi"
2397,Maze Runner - Correr o Morir,2014,"Action, Mystery, Sci-Fi"
2398,El asedio de Silverton,2022,"Action, Crime, Drama"
2399,El sorprendente Hombre Araña 2: la amenaza de Electro,2014,"Action, Adventure, Sci-Fi"
2400,007: Spectre,I) (2015,"Action, Adventure, Thriller"
2401,CSI: Miami,2002–2012,"Action, Crime, Drama"
2402,Kong: la Isla Calavera,2017,"Action, Adventure, Fantasy"
2403,John Wick 3: Parabellum,2019,"Action, Crime, Thriller"
2404,El ejército de los muertos,2021,"Action, Crime, Horror"
2405,Titanes del Pacífico,2013,"Action, Adventure, Sci-Fi"
2406,Una guerra de película,2008,"Action, Comedy, War"
2407,Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
2408,Armageddon,1998,"Action, Adventure, Sci-Fi"
2409,Impacto profundo,1998,"Action, Drama, Sci-Fi"
2410,Batman & Robin,1997,"Action, Sci-Fi"
2411,El Protector,2021,"Action, Adventure, Drama"
2412,Don,2022,"Action, Comedy, Romance"
2413,Designated Survivor,2016–2019,"Action, Drama, Mystery"
2414,Alias,2001–2006,"Action, Drama, Mystery"
2415,X-Men: Primera generación,2011,"Action, Adventure, Sci-Fi"
2416,El primer vengador 2: Segunda guerra,2014,"Action, Adventure, Sci-Fi"
2417,The Marvels,2023,"Action, Adventure, Fantasy"
2418,El duro,1989,"Action, Thriller"
2419,Asesino del futuro,2012,"Action, Drama, Sci-Fi"
2420,Tomorrow,2022– ,"Action, Comedy, Drama"
2421,Agent Game,2022,"Action, Thriller"
2422,Duro De Cuidar 2,2021,"Action, Comedy, Crime"
2423,Más Dura Será La Caída,2021,"Action, Drama, Western"
